"Brand_ID,Brand_Name,Country,Year,Sustainability_Rating,Material_Type,Eco_Friendly_Manufacturing,Carbon_Footprint_MT,Water_Usage_Liters,Waste_Production_KG,Recycling_Programs,Product_Lines,Average_Price_USD,Market_Trend,Certifications,ESG_Score,Renewable_Energy_Percent,Ethical_Sourcing_Score,Circularity_Index,Employee_Welfare_Score"
"BRAND-0041,Brand_41,UK,2014,B,Tencel,No,124.81,3578456.07,41009.2,No,18,402.16,Stable,GOTS,83.08,50.72,63.72,67.4,41.96"
"BRAND-0042,Brand_42,USA,2016,B,Hemp,Yes,295.57,2208679.26,88617.25,Yes,3,376.93,Declining,GOTS,74.57,43.23,68.71,53.57,57.21"
"BRAND-0043,Brand_43,Italy,2011,C,Tencel,Yes,455.62,2546933.55,53420.11,No,16,378.95,Growing,,70.27,42.3,21.9,38.65,100.0"
"BRAND-0044,Brand_44,Italy,2017,B,Vegan Leather,Yes,434.37,4485908.7,40551.74,No,18,99.02,Stable,OEKO-TEX,67.48,50.74,50.45,53.74,73.6"
"BRAND-0045,Brand_45,Italy,2013,C,Recycled Polyester,Yes,315.39,4238166.74,85154.11,Yes,20,369.89,Growing,Fair Trade,49.82,29.78,55.36,37.88,37.1"
"BRAND-0046,Brand_46,Japan,2024,B,Tencel,Yes,202.43,2935889.82,80999.76,No,6,109.46,Stable,B Corp,61.2,50.64,87.07,57.16,44.19"
"BRAND-0047,Brand_47,UK,2015,B,Tencel,No,363.8,66938.2,9625.24,Yes,4,115.71,Stable,,65.09,57.92,57.28,74.94,71.84"
"BRAND-0048,Brand_48,India,2011,B,Organic Cotton,No,382.4,3007645.93,5349.83,Yes,16,72.76,Growing,,87.86,52.61,55.27,31.5,69.71"
"BRAND-0049,Brand_49,India,2016,B,Hemp,No,288.0,2328411.6,76891.7,Yes,11,101.85,Stable,OEKO-TEX,77.15,58.07,84.71,24.35,58.01"
"BRAND-0050,Brand_50,India,2014,C,Bamboo Fabric,Yes,38.25,4816032.53,67206.93,Yes,9,29.63,Declining,,45.55,57.54,40.88,55.98,100.0"
"BRAND-0051,Brand_51,Brazil,2019,C,Vegan Leather,Yes,19.12,4247729.83,74281.13,Yes,16,253.18,Declining,,76.86,9.02,32.72,39.64,100.0"
"BRAND-0052,Brand_52,France,2023,B,Tencel,No,465.37,3438997.67,33956.03,No,20,400.62,Declining,B Corp,66.22,62.01,63.49,55.63,63.51"
"BRAND-0053,Brand_53,Australia,2019,C,Hemp,No,30.6,2436109.9,64445.97,Yes,8,478.28,Growing,,61.85,33.24,43.94,61.41,82.84"
"BRAND-0054,Brand_54,France,2012,C,Bamboo Fabric,Yes,368.14,1356637.77,24497.25,No,7,256.73,Declining,,81.18,23.89,44.63,12.13,83.69"
"BRAND-0055,Brand_55,UK,2016,B,Vegan Leather,No,58.32,2938317.57,4671.87,Yes,20,301.97,Growing,OEKO-TEX,87.46,23.7,80.32,68.8,85.95"
"BRAND-0056,Brand_56,India,2012,B,Tencel,Yes,317.44,3386658.66,9311.63,No,7,123.3,Declining,B Corp,85.97,57.54,85.77,31.61,57.12"
"BRAND-0057,Brand_57,Brazil,2010,B,Tencel,Yes,63.21,3910771.5,49153.08,No,16,493.69,Declining,,59.41,43.1,84.2,54.55,100.0"
"BRAND-0058,Brand_58,Germany,2022,B,Vegan Leather,Yes,83.24,65384.37,81487.65,Yes,4,237.95,Stable,OEKO-TEX,67.36,11.0,89.96,41.81,66.83"
"BRAND-0059,Brand_59,UK,2021,A,Vegan Leather,Yes,168.32,3411667.16,24814.84,Yes,1,175.79,Growing,Fair Trade,76.97,58.52,92.34,43.96,75.17"
"BRAND-0060,Brand_60,Brazil,2012,B,Recycled Polyester,Yes,134.29,1675918.75,13866.46,Yes,6,28.54,Declining,GOTS,86.63,16.33,31.69,88.88,68.03"
"BRAND-0061,Brand_61,Germany,2019,B,Bamboo Fabric,No,176.94,1706304.02,98388.45,Yes,6,485.58,Growing,Fair Trade,64.81,51.08,78.11,61.39,65.63"
"BRAND-0062,Brand_62,USA,2024,B,Recycled Polyester,Yes,459.57,1262304.83,91860.83,Yes,16,82.54,Stable,Fair Trade,69.22,53.25,60.47,73.09,72.73"
"BRAND-0063,Brand_63,Germany,2021,B,Recycled Polyester,Yes,317.48,3250619.98,14502.18,Yes,3,261.24,Declining,B Corp,55.4,67.48,56.55,58.02,47.84"
"BRAND-0064,Brand_64,Japan,2022,B,Recycled Polyester,Yes,118.12,2650618.81,97895.52,No,13,268.21,Stable,Fair Trade,54.06,87.2,80.09,67.4,34.49"
"BRAND-0065,Brand_65,USA,2024,C,Recycled Polyester,No,448.75,2427744.85,35739.14,No,12,467.6,Growing,OEKO-TEX,84.19,17.98,38.85,63.35,64.37"
"BRAND-0066,Brand_66,Italy,2012,B,Bamboo Fabric,Yes,346.21,4431517.33,93177.22,Yes,3,328.96,Declining,B Corp,92.34,46.85,38.48,60.09,53.03"
"BRAND-0067,Brand_67,USA,2013,B,Bamboo Fabric,No,154.05,3150639.7,9542.98,Yes,20,370.54,Growing,,70.92,41.92,81.4,77.14,77.31"
"BRAND-0068,Brand_68,UK,2018,A,Hemp,No,221.83,3232837.62,97765.16,Yes,17,187.21,Stable,OEKO-TEX,87.05,57.54,78.78,58.13,75.37"
"BRAND-0069,Brand_69,China,2016,A,Tencel,Yes,474.7,1580162.53,22732.05,No,15,326.17,Growing,GOTS,77.42,52.74,72.46,100.0,68.23"
"BRAND-0070,Brand_70,France,2012,B,Vegan Leather,Yes,74.32,4110376.09,89038.36,Yes,6,26.5,Growing,Fair Trade,62.32,40.24,54.16,74.21,93.19"
"BRAND-0071,Brand_71,China,2021,B,Tencel,Yes,394.67,1424293.75,28854.77,Yes,12,183.08,Stable,Fair Trade,77.42,38.3,83.39,32.21,67.89"
"BRAND-0072,Brand_72,India,2013,B,Vegan Leather,No,121.11,1357557.81,69593.07,No,11,194.42,Growing,B Corp,95.07,23.44,82.25,51.47,43.21"
"BRAND-0073,Brand_73,UK,2017,B,Tencel,Yes,286.44,1562546.48,7867.05,No,2,459.94,Growing,,71.46,69.73,71.54,62.94,64.2"
"BRAND-0074,Brand_74,USA,2012,B,Tencel,Yes,51.55,4796819.05,25167.92,No,3,81.26,Growing,,95.47,58.1,48.81,55.89,87.91"
"BRAND-0075,Brand_75,India,2017,C,Tencel,No,204.09,1863153.5,26493.93,No,8,416.51,Growing,OEKO-TEX,32.7,68.19,62.35,68.74,35.97"
"BRAND-0076,Brand_76,China,2016,A,Recycled Polyester,No,169.63,4347329.99,65146.43,No,20,409.91,Declining,,84.33,41.17,85.08,70.94,66.4"
"BRAND-0077,Brand_77,Australia,2017,B,Recycled Polyester,No,347.09,1519014.18,59379.99,Yes,17,479.21,Declining,,73.31,33.55,93.89,27.81,77.78"
"BRAND-0078,Brand_78,Italy,2019,B,Vegan Leather,Yes,77.71,1880107.35,30899.97,No,4,359.23,Stable,OEKO-TEX,67.51,24.28,64.12,80.62,100.0"
"BRAND-0079,Brand_79,Japan,2023,B,Organic Cotton,Yes,343.04,2475171.71,27182.05,No,15,216.13,Stable,B Corp,73.38,55.9,65.51,45.06,88.54"
"BRAND-0080,Brand_80,Japan,2023,C,Vegan Leather,No,358.73,1568552.21,78799.16,No,5,240.02,Growing,B Corp,42.19,25.12,67.09,43.08,70.25"
"BRAND-0081,Brand_81,India,2023,A,Recycled Polyester,No,218.1,2298435.19,1761.34,Yes,8,155.15,Declining,,68.7,88.67,74.95,43.02,76.85"
"BRAND-0082,Brand_82,USA,2022,B,Vegan Leather,Yes,331.04,2664508.93,84504.49,No,7,183.26,Stable,,77.36,19.23,59.54,71.17,35.74"
"BRAND-0083,Brand_83,Australia,2024,B,Tencel,Yes,204.77,1962249.61,35066.22,No,7,319.43,Stable,OEKO-TEX,94.17,54.02,17.9,49.66,50.15"
"BRAND-0084,Brand_84,Japan,2023,A,Organic Cotton,Yes,75.48,4650439.21,28599.2,Yes,2,225.2,Declining,B Corp,64.23,82.47,91.47,41.73,79.07"
"BRAND-0085,Brand_85,Italy,2011,B,Recycled Polyester,No,44.34,2044130.86,2395.39,No,20,282.44,Growing,OEKO-TEX,59.87,61.18,100.0,46.52,70.74"
"BRAND-0086,Brand_86,UK,2016,C,Recycled Polyester,No,199.92,2488315.29,74339.23,No,4,370.28,Stable,GOTS,64.47,51.86,58.98,19.11,72.91"
"BRAND-0087,Brand_87,Germany,2012,B,Vegan Leather,Yes,276.69,2381958.82,66716.0,Yes,9,132.48,Declining,,85.73,26.69,50.8,38.16,68.58"
"BRAND-0088,Brand_88,Germany,2012,C,Vegan Leather,Yes,291.79,3203689.5,50000.66,No,17,46.62,Declining,GOTS,76.93,17.6,67.53,30.21,67.91"
"BRAND-0089,Brand_89,Australia,2016,B,Vegan Leather,Yes,475.14,4548945.26,42811.53,No,9,481.61,Growing,OEKO-TEX,64.05,64.94,66.62,49.62,69.75"
"BRAND-0090,Brand_90,Australia,2023,A,Vegan Leather,No,152.06,3389499.28,58440.36,No,1,393.27,Declining,GOTS,79.7,81.14,87.92,68.28,50.05"
"BRAND-0091,Brand_91,Italy,2014,B,Tencel,No,264.41,2637824.7,7912.57,No,20,463.65,Growing,OEKO-TEX,73.46,38.35,70.98,66.08,64.11"
"BRAND-0092,Brand_92,UK,2021,B,Vegan Leather,No,364.82,2186640.3,5824.14,No,8,462.08,Growing,B Corp,86.53,22.94,55.73,80.14,46.85"
"BRAND-0093,Brand_93,Italy,2010,C,Vegan Leather,Yes,384.95,3477669.16,24539.14,No,3,436.23,Declining,B Corp,61.47,0.0,46.27,75.68,57.47"
"BRAND-0094,Brand_94,Germany,2021,B,Bamboo Fabric,No,53.16,357792.7,59407.19,No,18,95.64,Declining,B Corp,67.09,26.42,85.58,44.43,88.33"
"BRAND-0095,Brand_95,Germany,2010,B,Tencel,Yes,123.64,4612093.6,56884.63,No,9,158.43,Declining,Fair Trade,66.12,45.5,80.79,55.38,64.93"
"BRAND-0096,Brand_96,France,2021,B,Vegan Leather,No,347.56,3505851.91,51945.53,No,6,486.69,Declining,GOTS,50.05,83.18,89.09,54.35,78.13"
"BRAND-0097,Brand_97,USA,2022,B,Recycled Polyester,Yes,479.65,1363339.6,64472.04,No,17,472.66,Stable,,76.44,62.81,52.57,11.98,69.96"
"BRAND-0098,Brand_98,France,2014,B,Tencel,No,186.63,2218131.45,98925.73,Yes,9,135.77,Declining,GOTS,75.92,54.71,100.0,30.65,61.46"
"BRAND-0099,Brand_99,China,2014,C,Organic Cotton,No,252.22,958875.53,53722.85,Yes,1,29.62,Growing,B Corp,72.08,39.2,38.61,51.65,50.85"
"BRAND-0100,Brand_100,India,2011,B,Recycled Polyester,No,481.39,4906438.37,27322.55,No,5,135.05,Declining,Fair Trade,68.48,35.17,82.77,51.54,61.2"
"BRAND-0101,Brand_101,Australia,2011,B,Hemp,Yes,242.61,1934618.84,63190.78,No,1,355.31,Growing,GOTS,50.77,78.92,35.63,65.25,71.11"
"BRAND-0102,Brand_102,USA,2013,B,Recycled Polyester,No,427.13,3641910.27,17326.87,Yes,6,173.84,Stable,OEKO-TEX,65.69,52.42,55.77,64.27,77.86"
"BRAND-0103,Brand_103,China,2024,C,Bamboo Fabric,Yes,47.65,1331967.52,18425.04,Yes,3,135.3,Stable,GOTS,66.86,1.74,98.1,19.59,70.08"
"BRAND-0104,Brand_104,China,2020,B,Tencel,No,302.11,1817495.16,33016.78,Yes,18,384.04,Declining,,59.97,33.18,84.96,65.37,79.04"
"BRAND-0105,Brand_105,Brazil,2011,C,Hemp,Yes,360.09,3732137.92,77538.73,No,14,114.86,Declining,Fair Trade,69.58,29.12,60.17,58.57,42.16"
"BRAND-0106,Brand_106,Germany,2022,B,Organic Cotton,Yes,20.73,1272635.13,12883.33,No,3,481.53,Growing,,78.06,35.98,60.66,67.47,82.73"
"BRAND-0107,Brand_107,USA,2019,A,Hemp,No,316.7,1408780.91,51791.04,Yes,16,470.45,Declining,GOTS,100.0,60.38,71.81,76.34,48.82"
"BRAND-0108,Brand_108,China,2016,B,Vegan Leather,Yes,63.55,3546692.49,61813.16,Yes,12,207.52,Growing,Fair Trade,74.62,45.64,79.25,52.14,84.72"
"BRAND-0109,Brand_109,UK,2015,A,Vegan Leather,Yes,85.0,1954874.74,5549.41,Yes,16,94.71,Declining,,75.86,46.31,92.53,79.91,76.54"
"BRAND-0110,Brand_110,UK,2023,B,Vegan Leather,No,409.37,1329572.99,70682.62,Yes,15,189.25,Stable,B Corp,70.88,76.9,61.79,37.21,36.21"
"BRAND-0111,Brand_111,Italy,2023,C,Tencel,No,18.34,1971538.81,49206.09,No,12,210.31,Growing,Fair Trade,43.22,32.68,40.99,36.09,80.53"
"BRAND-0112,Brand_112,India,2017,A,Organic Cotton,No,218.65,916249.72,92679.89,Yes,16,280.13,Declining,,71.6,89.01,72.83,63.58,84.92"
"BRAND-0113,Brand_113,Japan,2015,B,Organic Cotton,No,471.17,173345.1,95980.3,No,4,477.76,Declining,,72.9,33.23,61.77,47.62,89.38"
"BRAND-0114,Brand_114,France,2011,B,Vegan Leather,Yes,323.13,1432621.83,25997.5,Yes,14,239.04,Stable,,100.0,49.96,46.59,60.23,54.93"
"BRAND-0115,Brand_115,Brazil,2024,B,Tencel,Yes,419.84,4900485.4,92114.78,Yes,13,142.88,Growing,Fair Trade,69.11,41.81,75.36,94.86,71.05"
"BRAND-0116,Brand_116,China,2023,B,Vegan Leather,No,279.42,3242822.34,59473.38,Yes,6,328.45,Growing,B Corp,76.52,50.72,66.16,62.87,79.81"
"BRAND-0117,Brand_117,Italy,2022,B,Bamboo Fabric,No,17.89,2958385.59,30934.79,No,15,47.61,Growing,GOTS,71.48,57.78,75.52,59.24,80.52"
"BRAND-0118,Brand_118,Italy,2010,C,Organic Cotton,No,357.99,2829885.94,90089.19,No,20,467.22,Declining,,54.47,57.54,53.9,37.62,74.96"
"BRAND-0119,Brand_119,Germany,2016,B,Hemp,No,178.13,3408139.71,66214.85,No,9,452.99,Growing,Fair Trade,89.14,31.43,78.76,21.0,60.75"
"BRAND-0120,Brand_120,India,2024,B,Bamboo Fabric,No,149.42,105902.81,15054.43,No,3,274.49,Stable,OEKO-TEX,83.28,23.3,46.29,53.55,84.8"
"BRAND-0121,Brand_121,Japan,2016,A,Recycled Polyester,No,233.99,2595245.48,41516.78,No,16,145.94,Stable,Fair Trade,83.87,100.0,55.1,76.34,84.89"
"BRAND-0122,Brand_122,Brazil,2011,B,Hemp,No,359.68,2487675.57,62073.72,No,6,475.94,Growing,B Corp,58.36,37.35,65.63,48.54,65.38"
"BRAND-0123,Brand_123,Japan,2015,A,Hemp,Yes,261.27,1276598.09,36497.19,No,16,475.28,Growing,,93.04,63.38,100.0,63.03,54.68"
"BRAND-0124,Brand_124,USA,2023,B,Organic Cotton,Yes,197.43,3327856.95,1026.38,No,18,478.81,Declining,GOTS,50.97,12.63,84.13,83.53,55.63"
"BRAND-0125,Brand_125,China,2018,A,Bamboo Fabric,No,12.75,2839840.43,70815.72,Yes,19,134.71,Growing,B Corp,80.8,41.85,89.39,83.03,91.2"
"BRAND-0126,Brand_126,France,2018,A,Tencel,Yes,291.47,2972854.6,37791.12,Yes,9,373.04,Stable,OEKO-TEX,100.0,45.2,95.51,63.58,84.16"
"BRAND-0127,Brand_127,UK,2019,B,Hemp,Yes,125.39,1453757.85,29933.59,No,16,423.58,Growing,OEKO-TEX,57.14,58.4,100.0,58.4,67.66"
"BRAND-0128,Brand_128,Brazil,2020,C,Vegan Leather,Yes,147.3,2497654.23,11487.46,No,3,352.8,Growing,OEKO-TEX,63.51,0.0,70.75,24.63,64.61"
"BRAND-0129,Brand_129,Italy,2024,B,Tencel,Yes,441.4,3541423.74,84810.02,No,8,227.1,Declining,GOTS,73.49,51.66,95.57,42.4,37.94"
"BRAND-0130,Brand_130,UK,2019,B,Organic Cotton,No,437.36,4610075.73,55101.57,Yes,16,256.29,Growing,Fair Trade,64.45,22.71,88.23,49.38,66.57"
"BRAND-0131,Brand_131,Germany,2012,B,Bamboo Fabric,No,394.71,3737612.39,47507.88,Yes,18,209.74,Declining,Fair Trade,48.74,55.14,87.93,37.95,47.75"
"BRAND-0132,Brand_132,Germany,2016,B,Recycled Polyester,No,54.25,4598900.27,1203.32,No,12,28.53,Stable,Fair Trade,73.03,25.2,100.0,59.97,70.7"
"BRAND-0133,Brand_133,Italy,2015,B,Hemp,No,499.82,4390878.58,75657.34,No,15,269.11,Stable,GOTS,56.07,29.18,62.45,93.23,88.15"
"BRAND-0134,Brand_134,UK,2014,B,Tencel,Yes,190.42,1482288.75,41553.33,No,8,220.25,Declining,Fair Trade,79.1,41.98,61.02,85.36,51.33"
"BRAND-0135,Brand_135,Australia,2010,B,Hemp,No,499.89,4771068.92,84972.17,No,3,29.47,Stable,OEKO-TEX,58.21,24.85,75.76,59.88,72.06"
"BRAND-0136,Brand_136,India,2016,A,Tencel,No,297.74,1168392.22,9798.28,Yes,12,138.36,Stable,B Corp,95.25,37.54,66.71,70.59,84.96"
"BRAND-0137,Brand_137,USA,2016,C,Hemp,Yes,175.32,1797871.37,12358.45,Yes,8,33.0,Declining,,60.25,21.75,75.73,40.43,71.75"
"BRAND-0138,Brand_138,Australia,2019,B,Organic Cotton,No,296.75,3925788.39,84842.78,No,17,65.82,Stable,B Corp,67.17,7.67,98.13,84.28,59.09"
"BRAND-0139,Brand_139,Australia,2022,B,Tencel,No,305.66,2630130.72,43360.72,Yes,5,328.12,Stable,Fair Trade,84.2,70.4,61.39,23.76,68.18"
"BRAND-0140,Brand_140,Germany,2017,B,Organic Cotton,Yes,95.73,3643293.99,46696.11,No,12,367.96,Growing,OEKO-TEX,53.54,19.49,64.52,73.26,84.27"
"BRAND-0141,Brand_141,Japan,2014,B,Bamboo Fabric,Yes,445.67,4773997.53,54824.14,Yes,15,433.47,Growing,Fair Trade,75.41,44.07,73.14,64.91,72.46"
"BRAND-0142,Brand_142,Italy,2019,B,Hemp,Yes,275.48,2528385.2,18359.11,No,17,119.12,Stable,,91.61,64.56,65.89,39.88,67.94"
"BRAND-0143,Brand_143,India,2022,C,Bamboo Fabric,No,199.17,3373982.21,13320.3,Yes,9,191.73,Declining,,47.89,34.47,35.55,50.82,87.65"
"BRAND-0144,Brand_144,France,2022,B,Hemp,No,332.24,1819385.59,95549.41,No,6,394.27,Declining,Fair Trade,74.77,29.85,59.56,32.31,76.75"
"BRAND-0145,Brand_145,Japan,2014,B,Bamboo Fabric,Yes,15.44,3331973.79,5114.72,Yes,9,309.5,Declining,Fair Trade,75.9,52.98,82.37,33.17,47.55"
"BRAND-0146,Brand_146,Australia,2020,A,Bamboo Fabric,Yes,164.31,3982288.22,60704.84,No,20,395.41,Declining,GOTS,83.73,72.59,95.88,23.18,78.73"
"BRAND-0147,Brand_147,China,2010,C,Hemp,Yes,374.79,581419.83,40911.13,Yes,4,309.15,Stable,Fair Trade,53.45,22.28,49.22,70.35,84.14"
"BRAND-0148,Brand_148,USA,2015,C,Tencel,No,184.92,262604.96,63384.21,No,5,264.94,Growing,OEKO-TEX,52.19,44.7,49.13,79.11,46.97"
"BRAND-0149,Brand_149,China,2012,C,Recycled Polyester,No,351.17,4076142.85,22978.82,Yes,14,188.02,Stable,GOTS,79.83,9.89,70.54,11.76,29.43"
"BRAND-0150,Brand_150,Italy,2020,B,Recycled Polyester,No,309.84,3542368.46,11357.08,Yes,18,37.66,Growing,OEKO-TEX,76.45,39.35,32.64,91.77,50.29"
"BRAND-0151,Brand_151,India,2023,B,Hemp,Yes,482.8,757408.83,62932.02,Yes,1,21.52,Growing,B Corp,75.76,48.75,61.99,54.76,66.26"
"BRAND-0152,Brand_152,India,2012,B,Hemp,No,243.15,3172294.5,98984.45,No,10,77.27,Growing,OEKO-TEX,77.2,29.2,38.75,60.8,85.17"
"BRAND-0153,Brand_153,UK,2014,B,Hemp,Yes,1.61,4070653.06,45663.62,Yes,15,55.74,Declining,B Corp,61.8,37.95,94.64,25.55,52.85"
"BRAND-0154,Brand_154,Brazil,2013,B,Tencel,Yes,30.67,4999380.44,49890.36,Yes,17,190.94,Growing,,75.48,17.02,56.15,81.42,77.44"
"BRAND-0155,Brand_155,Australia,2019,B,Organic Cotton,No,302.58,3627022.42,24060.1,No,1,131.09,Stable,GOTS,76.4,49.7,99.75,59.01,18.83"
